status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
55-64	Bladder	I	1.3377987964595663	0.07536223826900565	-5.601792942435667	0.22757373490821656	0.8256857729469143	0.031536768663606746	0.7784272140568018	0.8943394107209558	2.7486164944265335e-4	2.056898563778592e-4	1.5697957937643812e-5	7.531512648707295e-4
55-64	Bladder	II	1.253667365258386	0.05144000926923259	-3.9151593409812295	0.15128295071222864	0.6922774781321708	0.018210469459117952	0.654970948546521	0.7256229093515071	0.001447998074223416	2.1050739343406603e-4	0.0010399297014150575	0.0018712010656724968
55-64	Bladder	III	1.3259857099234087	0.042553889920350606	-3.9798995143926756	0.16172852310220803	0.574760107311941	0.023392414058134435	0.5282024779793847	0.620020978976142	0.002672079845495001	3.182999517940017e-4	0.00199977349138272	0.003216790441826288
55-64	Bladder	IV	1.075388937605363	0.02412991058967426	-2.6067525825294258	0.06392804476993766	0.24119360642010684	0.011308349139184283	0.21928594442463034	0.26337184660371377	0.0032781155475699124	7.638506964864881e-5	0.0030488183806278	0.0033311253508541056
65-74	Bladder	I	1.271469230611273	0.08752798246878742	-4.7562067150098635	0.23698026503179	0.888721843013414	0.025929265902295887	0.8179490670355033	0.9206950115322862	0.0012049929317463368	1.954047025272078e-4	7.126200096753808e-4	0.001497453391618469
65-74	Bladder	II	1.1506191874011718	0.03089011012353294	-3.5187400734283933	0.09797676076644674	0.6454482541337683	0.015168818941759954	0.6149289493174148	0.6749544710535532	0.0017675193091004466	1.986188962911073e-4	0.001395505393841748	0.002150167982568879
65-74	Bladder	III	1.1959653119682594	0.03095207342674463	-3.6323898865304596	0.12334673144552112	0.5270362460382398	0.020062103024540312	0.4893009615179474	0.5664336366099004	0.002255764803386422	2.9919984641121303e-4	0.0017165761928750213	0.002895994757281551
65-74	Bladder	IV	0.9537494150069961	0.02039492566303732	-2.343354233824469	0.05566533826266669	0.19253258960921488	0.011361985772519312	0.1707650727212049	0.21433956870639692	0.003261027593040319	9.94854005564641e-5	0.0029630174145866923	0.00333046256254801
75-84	Bladder	I	1.1098835907785336	0.05157791252123712	-3.526476564368751	0.16514833478106192	0.8807872073829615	0.015383173551178821	0.8440075479339891	0.9035415012049477	0.0026944913941942634	1.7218913797785595e-4	0.002295604903087896	0.002980328333447973
75-84	Bladder	II	1.0333001458978228	0.022851542799173303	-2.9044943696681966	0.0672374126666745	0.47092140698443746	0.012987179363992536	0.4457913076270824	0.49601340744040034	0.0030905393739623574	1.3392055751134047e-4	0.0027617444915532747	0.003275025350800859
